Shape of Object,Amount,Category

light,16565,biggest
chevron,952,medium
egg,759,medium
teardrop,750,medium
cone,316,medium
cross,233,medium



circle,7608,huge

diamond,1178,big
cylinder,1283,big
rectangle,1297,big

flash,1328,big
cigar,2057,big
formation,2457,big
oval,3733,big
disk,5213,huge
sphere,5387,huge
fireball,6208,huge

triangle,7865,huge


